amount,amount_to_average_ratio,new_recipient,recipient_transaction_count,transaction_velocity,hour_of_day,day_of_week,historical_average,historical_std,recent_suspicious_call,recent_suspicious_message,device_changed,location_anomaly,voice_risk,message_risk,scenario_type,is_fraud
858.04,0.57,1,0,0.0978,14,1,1500.0,600.0,0,0,0,0,3,2,NORMAL,0
1394.59,0.93,0,34,0.1664,13,5,1500.0,600.0,0,0,0,0,13,7,NORMAL,0
1379.64,0.92,0,12,0.1866,17,2,1500.0,600.0,0,0,0,0,4,6,NORMAL,0
5744.62,3.83,1,0,0.3376,4,6,1500.0,600.0,1,1,1,0,64,64,SUSPICIOUS,1
13231.55,1.1,0,25,0.1612,9,0,12000.0,4800.0,0,0,0,0,7,9,NORMAL,0
15000.0,10.0,1,0,0.7627,11,1,1500.0,600.0,1,1,1,1,91,81,EXTREME,1
6947.94,4.63,1,0,0.4917,2,3,1500.0,600.0,1,0,0,0,75,7,SUSPICIOUS,1
1101.22,0.73,0,4,0.2091,19,2,1500.0,600.0,0,0,0,0,2,6,NORMAL,0
3667.84,0.73,0,33,0.1231,21,1,5000.0,2000.0,0,0,0,0,8,4,NORMAL,0
2093.85,0.42,0,29,0.2285,19,2,5000.0,2000.0,0,0,0,0,7,4,NORMAL,0
1064.14,0.71,0,11,0.1718,20,4,1500.0,600.0,0,0,0,0,2,12,NORMAL,0
7475.93,0.62,0,37,0.2208,7,5,12000.0,4800.0,0,0,0,0,3,8,NORMAL,0
2484.62,0.5,0,31,0.0407,15,4,5000.0,2000.0,0,0,0,0,5,3,NORMAL,0
55576.75,4.63,1,0,0.505,0,4,12000.0,4800.0,0,1,0,0,36,63,SUSPICIOUS,1
7449.36,1.49,0,17,0.2244,9,0,5000.0,2000.0,0,0,0,0,15,2,NORMAL,0
2845.67,0.95,0,32,0.2388,12,2,3000.0,1200.0,0,0,0,0,13,6,NORMAL,0
2099.81,0.7,0,27,0.249,18,3,3000.0,1200.0,0,0,0,0,14,3,NORMAL,0
1630.29,1.09,0,16,0.1636,7,0,1500.0,600.0,0,0,0,0,1,7,NORMAL,0
2973.06,0.59,1,0,0.09,22,1,5000.0,2000.0,0,0,0,0,4,15,NORMAL,0
6476.49,0.81,0,8,0.1784,18,3,8000.0,3200.0,0,0,0,0,13,14,NORMAL,0
1188.96,0.79,1,0,0.1929,10,1,1500.0,600.0,0,0,0,0,6,6,NORMAL,0
2842.01,0.95,0,17,0.2236,9,3,3000.0,1200.0,0,0,0,0,3,1,NORMAL,0
2316.87,1.54,0,17,0.0749,22,3,1500.0,600.0,0,0,0,0,6,12,NORMAL,0
1722.61,1.15,0,18,0.2346,21,2,1500.0,600.0,0,0,0,0,13,15,NORMAL,0
15000.0,10.0,1,0,0.8338,23,2,1500.0,600.0,1,1,0,0,81,71,EXTREME,1
36612.17,3.05,0,1,0.5405,1,4,12000.0,4800.0,1,1,1,0,50,76,SUSPICIOUS,1
55870.41,4.66,1,0,0.9259,18,4,12000.0,4800.0,1,1,1,0,90,78,EXTREME,1
10288.95,3.43,1,0,0.4582,19,2,3000.0,1200.0,0,1,0,0,2,79,SUSPICIOUS,1
896.59,0.6,0,34,0.0957,18,0,1500.0,600.0,0,0,0,0,7,11,NORMAL,0
5450.12,0.45,0,41,0.2466,7,5,12000.0,4800.0,0,0,0,0,9,3,NORMAL,0
8420.99,5.61,1,0,0.2622,4,4,1500.0,600.0,1,1,0,0,56,80,SUSPICIOUS,1
4679.52,0.94,0,5,0.0594,20,6,5000.0,2000.0,0,0,1,0,8,1,NORMAL,0
2046.2,0.41,0,30,0.1559,20,4,5000.0,2000.0,0,0,0,0,0,3,NORMAL,0
13228.7,4.41,0,3,0.421,14,1,3000.0,1200.0,1,0,0,1,58,1,SUSPICIOUS,1
2986.59,1.0,0,24,0.2038,20,4,3000.0,1200.0,0,0,0,0,4,7,NORMAL,0
16754.87,5.58,1,0,0.4946,23,6,3000.0,1200.0,0,0,0,1,7,46,SUSPICIOUS,1
26228.14,3.28,0,2,0.3399,3,1,8000.0,3200.0,0,1,0,0,47,57,SUSPICIOUS,1
12863.25,1.07,0,36,0.1095,7,0,12000.0,4800.0,0,0,0,0,8,5,NORMAL,0
709.44,0.47,0,29,0.1126,17,3,1500.0,600.0,0,0,0,0,3,12,NORMAL,0
1687.37,1.12,0,2,0.1492,13,2,1500.0,600.0,0,0,0,0,13,2,NORMAL,0
13739.15,1.14,0,9,0.1911,16,4,12000.0,4800.0,0,0,0,0,9,13,NORMAL,0
7505.38,0.63,0,28,0.1796,19,5,12000.0,4800.0,0,0,0,0,5,9,NORMAL,0
17520.99,3.5,1,0,0.432,23,3,5000.0,2000.0,0,1,0,0,48,50,SUSPICIOUS,1
11284.91,0.94,0,17,0.1813,14,6,12000.0,4800.0,0,0,1,0,6,4,NORMAL,0
37115.67,4.64,0,2,0.3658,3,5,8000.0,3200.0,0,0,0,1,15,49,SUSPICIOUS,1
1033.08,0.69,0,16,0.0769,21,0,1500.0,600.0,0,0,0,0,7,3,NORMAL,0
71491.48,5.96,1,0,0.58,19,4,12000.0,4800.0,0,1,0,1,16,75,SUSPICIOUS,1
1560.51,0.2,0,17,0.2164,15,6,8000.0,3200.0,0,0,0,0,15,7,NORMAL,0
5277.38,1.06,0,23,0.1071,9,1,5000.0,2000.0,0,0,0,0,4,7,NORMAL,0
2615.29,0.87,1,0,0.1256,21,3,3000.0,1200.0,0,0,0,0,1,6,NORMAL,0
9302.98,0.78,0,3,0.2199,19,3,12000.0,4800.0,0,0,0,0,0,11,NORMAL,0
6360.66,0.8,0,36,0.208,14,3,8000.0,3200.0,0,0,0,1,7,8,NORMAL,0
4696.39,0.94,0,27,0.1921,21,1,5000.0,2000.0,0,0,0,0,0,12,NORMAL,0
7124.44,4.75,1,0,0.3847,0,2,1500.0,600.0,0,1,0,0,48,61,SUSPICIOUS,1
6375.68,0.8,0,7,0.1388,8,2,8000.0,3200.0,0,0,0,0,7,2,NORMAL,0
1114.92,0.74,0,14,0.2162,11,1,1500.0,600.0,0,0,0,0,4,15,NORMAL,0
23160.82,7.72,1,0,0.605,11,1,3000.0,1200.0,1,1,0,0,99,89,EXTREME,1
17629.57,5.88,1,0,0.2103,4,4,3000.0,1200.0,0,1,1,0,12,52,SUSPICIOUS,1
2742.84,0.91,0,21,0.2186,10,6,3000.0,1200.0,0,0,0,0,1,11,NORMAL,0
1392.94,0.93,0,23,0.0427,20,6,1500.0,600.0,0,0,0,0,15,3,NORMAL,0
39804.64,4.98,1,0,0.4935,4,4,8000.0,3200.0,0,0,0,0,17,14,SUSPICIOUS,1
3372.43,0.67,0,17,0.2145,9,2,5000.0,2000.0,0,0,0,0,14,7,NORMAL,0
6144.68,0.77,0,33,0.2187,12,3,8000.0,3200.0,0,0,0,0,6,11,NORMAL,0
11088.36,0.92,0,19,0.1567,13,0,12000.0,4800.0,0,0,0,0,7,13,NORMAL,0
7322.11,0.92,0,33,0.1341,7,0,8000.0,3200.0,0,0,0,0,9,7,NORMAL,0
5953.89,0.5,0,37,0.1515,20,5,12000.0,4800.0,0,0,0,0,10,11,NORMAL,0
3724.19,0.74,0,14,0.1063,12,1,5000.0,2000.0,0,0,0,0,6,15,NORMAL,0
9716.14,0.81,0,8,0.2149,16,1,12000.0,4800.0,0,0,0,0,11,5,NORMAL,0
2853.04,0.95,0,5,0.1562,11,5,3000.0,1200.0,0,0,0,0,15,3,NORMAL,0
33404.0,4.18,1,0,0.5862,4,6,8000.0,3200.0,0,0,0,0,39,44,SUSPICIOUS,1
2536.09,0.85,0,38,0.2393,9,1,3000.0,1200.0,0,0,0,0,3,13,NORMAL,0
1294.87,0.43,0,26,0.1346,21,2,3000.0,1200.0,0,0,0,0,13,9,NORMAL,0
1313.38,0.88,0,15,0.1714,15,5,1500.0,600.0,0,0,0,0,2,5,NORMAL,0
2225.54,0.74,1,0,0.1346,22,2,3000.0,1200.0,0,0,0,0,1,7,NORMAL,0
7755.51,0.97,1,0,0.089,15,6,8000.0,3200.0,0,0,0,0,6,13,NORMAL,0
2355.73,0.79,0,11,0.055,12,6,3000.0,1200.0,0,0,0,0,9,9,NORMAL,0
4674.78,0.93,0,19,0.1451,22,3,5000.0,2000.0,0,0,0,0,2,1,NORMAL,0
10177.86,0.85,0,7,0.0881,7,6,12000.0,4800.0,0,0,0,0,8,1,NORMAL,0
7873.99,0.66,0,19,0.0781,20,5,12000.0,4800.0,0,0,0,0,15,2,NORMAL,0
24227.34,4.85,0,2,0.3647,19,2,5000.0,2000.0,0,0,1,1,12,17,SUSPICIOUS,1
5216.43,1.04,0,27,0.2216,7,5,5000.0,2000.0,0,0,0,0,14,13,NORMAL,0
11960.57,1.0,0,42,0.1328,8,1,12000.0,4800.0,0,0,0,0,8,4,NORMAL,0
11180.91,1.4,0,42,0.1679,14,5,8000.0,3200.0,0,0,0,0,5,9,NORMAL,0
4929.68,3.29,0,1,0.3846,1,5,1500.0,600.0,0,0,0,0,15,9,SUSPICIOUS,0
10213.21,1.28,0,37,0.0704,13,4,8000.0,3200.0,0,0,0,0,4,2,NORMAL,0
8547.18,1.07,0,34,0.0961,7,2,8000.0,3200.0,0,0,0,0,9,15,NORMAL,0
8098.17,1.01,0,37,0.2002,19,3,8000.0,3200.0,0,0,0,0,10,6,NORMAL,0
4354.25,0.54,0,28,0.0492,22,5,8000.0,3200.0,0,0,0,0,12,12,NORMAL,0
3015.41,1.01,0,4,0.0665,17,6,3000.0,1200.0,0,0,0,0,3,14,NORMAL,0
1214.65,0.81,0,28,0.2229,11,0,1500.0,600.0,0,0,0,0,15,8,NORMAL,0
1141.22,0.76,0,45,0.2205,19,2,1500.0,600.0,0,0,0,0,15,1,NORMAL,0
4945.15,0.99,0,7,0.1311,10,6,5000.0,2000.0,0,0,0,0,3,14,NORMAL,0
3991.45,2.66,0,2,0.3434,14,1,1500.0,600.0,1,1,1,1,61,51,SUSPICIOUS,1
3585.03,0.45,0,17,0.1445,11,1,8000.0,3200.0,0,0,0,0,14,8,NORMAL,0
7169.27,0.9,0,45,0.1548,9,3,8000.0,3200.0,0,0,0,0,11,9,NORMAL,0
20494.63,4.1,1,0,0.5997,19,0,5000.0,2000.0,1,1,0,0,71,58,SUSPICIOUS,1
49566.74,6.2,1,0,0.8527,21,6,8000.0,3200.0,1,1,0,0,81,89,EXTREME,1
2703.81,0.54,0,16,0.1675,18,1,5000.0,2000.0,0,0,0,0,6,8,NORMAL,0
14096.61,4.7,0,3,0.2158,19,0,3000.0,1200.0,0,1,1,0,43,58,SUSPICIOUS,1
8887.68,2.96,1,0,0.5886,4,6,3000.0,1200.0,1,0,0,0,65,9,SUSPICIOUS,1
6208.74,4.14,1,0,0.5017,3,6,1500.0,600.0,0,0,0,0,12,17,SUSPICIOUS,1
5138.41,3.43,1,0,0.3474,4,4,1500.0,600.0,1,0,0,0,75,3,SUSPICIOUS,1
6238.63,0.52,0,37,0.1089,14,5,12000.0,4800.0,0,0,0,0,2,14,NORMAL,0
7386.14,0.92,0,4,0.2387,16,3,8000.0,3200.0,0,0,0,0,3,3,NORMAL,0
5371.3,0.67,0,44,0.2394,20,4,8000.0,3200.0,0,0,0,0,4,13,NORMAL,0
15797.32,1.32,0,19,0.0469,18,1,12000.0,4800.0,0,0,0,0,14,14,NORMAL,0
1452.69,0.97,0,25,0.1543,18,0,1500.0,600.0,0,0,0,0,12,8,NORMAL,0
4850.64,0.61,1,0,0.0845,7,0,8000.0,3200.0,0,0,0,0,10,7,NORMAL,0
3140.31,1.05,1,0,0.2007,13,4,3000.0,1200.0,0,0,0,0,6,7,NORMAL,0
30119.09,2.51,0,1,0.595,4,6,12000.0,4800.0,0,1,0,1,36,62,SUSPICIOUS,1
4780.61,0.96,1,0,0.0957,11,5,5000.0,2000.0,0,0,0,0,13,3,NORMAL,0
5425.67,1.09,0,8,0.1349,14,4,5000.0,2000.0,0,0,0,0,1,9,NORMAL,0
761.3,0.51,0,27,0.1295,10,3,1500.0,600.0,0,0,0,0,14,2,NORMAL,0
1971.16,0.66,1,0,0.0978,17,3,3000.0,1200.0,0,0,0,0,9,14,NORMAL,0
16233.51,10.82,1,0,0.9207,17,5,1500.0,600.0,1,1,1,1,86,83,EXTREME,1
4595.86,0.92,0,27,0.1274,10,2,5000.0,2000.0,0,0,0,0,13,10,NORMAL,0
14711.62,4.9,1,0,0.2365,1,0,3000.0,1200.0,1,0,1,0,58,17,SUSPICIOUS,1
12681.55,1.06,0,9,0.1263,20,6,12000.0,4800.0,0,0,0,0,1,9,NORMAL,0
5980.78,0.5,0,11,0.1779,14,6,12000.0,4800.0,0,0,0,0,3,11,NORMAL,0
22546.75,4.51,0,3,0.5898,0,4,5000.0,2000.0,0,1,0,0,8,57,SUSPICIOUS,1
4206.84,0.84,0,13,0.2227,19,0,5000.0,2000.0,0,0,0,0,4,0,NORMAL,0
4658.22,0.58,0,23,0.0731,16,5,8000.0,3200.0,0,0,0,0,10,2,NORMAL,0
52777.2,4.4,1,0,0.4653,14,5,12000.0,4800.0,1,1,0,0,93,85,EXTREME,1
30118.64,10.04,1,0,0.4911,13,0,3000.0,1200.0,1,1,0,0,89,91,EXTREME,1
21816.69,4.36,1,0,0.7162,19,0,5000.0,2000.0,1,1,1,1,80,76,EXTREME,1
2911.85,0.97,0,20,0.1089,7,3,3000.0,1200.0,0,0,0,0,13,5,NORMAL,0
2456.9,0.82,0,44,0.2093,9,3,3000.0,1200.0,0,0,1,0,1,13,NORMAL,0
43030.37,8.61,1,0,0.8587,22,5,5000.0,2000.0,1,1,1,1,93,79,EXTREME,1
26874.93,5.37,1,0,1.1581,14,6,5000.0,2000.0,1,1,1,1,91,72,EXTREME,1
36488.4,4.56,1,0,0.3583,4,5,8000.0,3200.0,1,0,0,1,56,2,SUSPICIOUS,1
12421.02,1.04,0,24,0.1137,11,1,12000.0,4800.0,0,0,0,0,3,4,NORMAL,0
2215.11,0.74,0,43,0.0558,22,3,3000.0,1200.0,0,0,0,0,14,10,NORMAL,0
